,id,Type,Player,href,decklist,record,date
20,4896480,Glimpse Combo,Xenowan,/deck/visual/4896480?fullscreen=true,"4 Cavern of Souls
4 Endurance
4 Fable of the Mirror-Breaker
1 Forest
4 Fury
3 Glimpse of Tomorrow
1 Hallowed Fountain
1 Island
4 Khalni Garden
4 Misty Rainforest
1 Mountain
4 Omnath, Locus of Creation
4 Risen Reef
4 Scalding Tarn
4 Shardless Agent
1 Steam Vents
1 Stomping Ground
1 Temple Garden
4 Violent Outburst
4 Wavesifter
2 Wooded Foothills

2 Boseiju, Who Endures
3 Foundation Breaker
3 Mystical Dispute
4 Subtlety
3 Twinshot Sniper
",21, 2022-06-19
21,4896481,Hammer Time,DaSneakyPete,/deck/visual/4896481?fullscreen=true,"2 Blacksmith's Skill
4 Colossus Hammer
4 Esper Sentinel
2 Giver of Runes
2 Hallowed Fountain
3 Inkmoth Nexus
1 Kaldra Compleat
4 Marsh Flats
3 Memnite
1 Nettlecyst
3 Ornithopter
4 Plains
4 Puresteel Paladin
3 Seachrome Coast
1 Shadowspear
4 Sigarda's Aid
3 Springleaf Drum
4 Stoneforge Mystic
1 Sword of Fire and Ice
1 The Reality Chip
4 Urza's Saga
2 Windswept Heath

1 Lavinia, Azorius Renegade
2 March of Otherworldly Light
2 Meddling Mage
1 Pithing Needle
1 Rest in Peace
3 Sanctifier en-Vec
1 Soul-Guide Lantern
2 Spell Pierce
2 Teferi, Time Raveler
",22, 2022-06-19
22,4896482,Yawgmoth,DemonicTutors,/deck/visual/4896482?fullscreen=true,"4 Birds of Paradise
1 Blood Artist
2 Blooming Marsh
1 Boseiju, Who Endures
4 Chord of Calling
1 Dryad Arbor
4 Eldritch Evolution
1 Endurance
2 Forest
1 Geralf's Messenger
4 Grist, the Hunger Tide
4 Ignoble Hierarch
2 Misty Rainforest
2 Nurturing Peatland
2 Overgrown Tomb
4 Strangleroot Geist
1 Swamp
2 Twilight Mire
1 Urborg, Tomb of Yawgmoth
4 Verdant Catacombs
4 Wall of Roots
1 Yavimaya, Cradle of Growth
4 Yawgmoth, Thran Physician
4 Young Wolf

1 Crime/Punishment
3 Endurance
2 Force of Vigor
2 Necromentia
1 Necroplasm
1 Outland Liberator
1 Scavenging Ooze
4 Thoughtseize
",23, 2022-06-19
23,4896483,UBR,patheus_84,/deck/visual/4896483?fullscreen=true,"4 Archon of Cruelty
3 Arid Mesa
3 Blood Crypt
4 Bloodstained Mire
4 Dwarven Mine
2 Expressive Iteration
4 Fatal Push
4 Hard Evidence
4 Indomitable Creativity
4 Inquisition of Kozilek
4 Persist
4 Prismari Command
2 Scalding Tarn
1 Snow-Covered Swamp
3 Steam Vents
4 Tainted Indulgence
2 Transmogrify
3 Wooded Foothills
1 Xander's Lounge

2 Alpine Moon
1 Ashiok, Dream Render
4 Leyline of the Void
3 Mystical Dispute
2 Nix
1 Shatterstorm
1 Spell Pierce
1 Unmoored Ego
",24, 2022-06-19
24,4896484,Mono-Green Hardened Scales,Snickersaut,/deck/visual/4896484?fullscreen=true,"4 Ancient Stirrings
4 Arcbound Ravager
2 Arcbound Worker
2 Boseiju, Who Endures
2 Forest
4 Grove of the Burnwillows
4 Hangarback Walker
4 Hardened Scales
4 Inkmoth Nexus
3 Karplusan Forest
2 Llanowar Reborn
3 Patchwork Automaton
1 Pendelhaven
1 Phyrexia's Core
1 Shadowspear
1 Springleaf Drum
3 The Ozolith
4 Urza's Saga
4 Walking Ballista
3 Welding Jar
4 Zabaz, the Glimmerwasp

1 Animation Module
1 Chalice of the Void
2 Dismember
1 Gemrazer
1 Grafdigger's Cage
2 Nature's Claim
1 Pithing Needle
1 Relic of Progenitus
1 Soul-Guide Lantern
2 Tamiyo's Safekeeping
1 Torpor Orb
1 Void Mirror
",25, 2022-06-19
25,4896485,Prison Tron,Chefen,/deck/visual/4896485?fullscreen=true,"1 Blast Zone
4 Chalice of the Void
4 Eldrazi Temple
3 Ensnaring Bridge
4 Expedition Map
1 Gemstone Caverns
1 Inventors' Fair
2 Island
4 Karn, the Great Creator
4 Mystic Forge
1 Pithing Needle
1 Relic of Progenitus
4 Serum Powder
4 Spellskite
1 The Underworld Cookbook
4 Thought-Knot Seer
4 Urza's Mine
4 Urza's Power Plant
2 Urza's Saga
4 Urza's Tower
3 Walking Ballista

1 Bottled Cloister
1 Emrakul, the Promised End
1 Ensnaring Bridge
1 Kozilek, Butcher of Truth
1 Liquimetal Coating
1 Possessed Portal
1 Ratchet Bomb
1 Sorcerous Spyglass
1 Sundering Titan
1 Tormod's Crypt
1 Torpor Orb
1 Walking Ballista
1 Welding Jar
1 Witchbane Orb
1 Wurmcoil Engine
",26, 2022-06-19
26,4896486,Burn,errkster,/deck/visual/4896486?fullscreen=true,"4 Arid Mesa
4 Boros Charm
4 Eidolon of the Great Revel
1 Fiery Islet
4 Goblin Guide
4 Inspiring Vantage
4 Lava Spike
4 Lightning Bolt
2 Lightning Helix
4 Monastery Swiftspear
3 Mountain
4 Rift Bolt
2 Sacred Foundry
4 Searing Blaze
4 Skewer the Critics
2 Skullcrack
4 Sunbaked Canyon
2 Wooded Foothills

3 Deflecting Palm
2 Path to Exile
4 Roiling Vortex
3 Sanctifier en-Vec
3 Smash to Smithereens
",27, 2022-06-19
27,4896487,Crashing Footfalls,bellfy,/deck/visual/4896487?fullscreen=true,"2 Bonecrusher Giant
1 Boseiju, Who Endures
4 Brazen Borrower
1 Breeding Pool
4 Crashing Footfalls
2 Dead/Gone
1 Fiery Islet
4 Fire/Ice
4 Force of Negation
2 Forest
3 Fury
3 Island
1 Ketria Triome
4 Misty Rainforest
1 Mountain
4 Mystical Dispute
1 Otawara, Soaring City
4 Scalding Tarn
4 Shardless Agent
2 Steam Vents
1 Stomping Ground
2 Subtlety
4 Violent Outburst
1 Waterlogged Grove

2 Blood Moon
4 Endurance
4 Force of Vigor
2 Foundation Breaker
1 Fury
1 Magus of the Moon
1 Thrun, the Last Troll
",28, 2022-06-19
28,4896488,Crashing Footfalls,Prisak,/deck/visual/4896488?fullscreen=true,"2 Bonecrusher Giant
1 Boseiju, Who Endures
4 Brazen Borrower
1 Breeding Pool
4 Crashing Footfalls
3 Dead/Gone
3 Endurance
4 Fire/Ice
4 Force of Negation
1 Forest
4 Fury
1 Gemstone Caverns
1 Ketria Triome
4 Misty Rainforest
1 Mountain
1 Otawara, Soaring City
4 Scalding Tarn
4 Shardless Agent
2 Snow-Covered Island
1 Steam Vents
1 Stomping Ground
4 Violent Outburst
1 Waterlogged Grove
4 Wooded Foothills

1 Endurance
4 Force of Vigor
3 Magus of the Moon
4 Mystical Dispute
3 Subtlety
",29, 2022-06-19
29,4896489,Elementals,mcrmy4lyf,/deck/visual/4896489?fullscreen=true,"4 Abundant Growth
2 Boseiju, Who Endures
1 Breeding Pool
2 Cavern of Souls
3 Eladamri's Call
2 Endurance
3 Ephemerate
1 Eternal Witness
4 Flooded Strand
3 Fury
1 Hallowed Fountain
2 Ice-Fang Coatl
1 Ketria Triome
4 Lightning Bolt
4 Misty Rainforest
2 Oath of Nissa
1 Obsidian Charmaw
4 Omnath, Locus of Creation
4 Prismatic Ending
1 Raugrin Triome
4 Risen Reef
1 Sacred Foundry
2 Snow-Covered Forest
1 Snow-Covered Island
2 Snow-Covered Plains
4 Solitude
1 Steam Vents
1 Stomping Ground
4 Teferi, Time Raveler
1 Temple Garden
1 Titania, Protector of Argoth
4 Windswept Heath
1 Wooded Foothills
4 Wrenn and Six

2 Chalice of the Void
2 Dovin's Veto
1 Emrakul, the Promised End
2 Endurance
1 Fury
1 Knight of Autumn
1 Magus of the Moon
1 Meddling Mage
3 Veil of Summer
1 Yorion, Sky Nomad
",30, 2022-06-19
